174: 1/1/2015 10:00 34.13, -96.57 Freezing Drizzle
175: 1/1/2015 10:01 35.41, -99.44 Freezing Drizzle
176: 1/1/2015 10:30 32.95, -97.06 Freezing Rain
177: 1/1/2015 10:38 29.89, -97.95 Rain
178: 1/1/2015 10:47 35.09, -95.70 Freezing Drizzle
179: 1/1/2015 10:49 30.23, -97.70 Rain
180: 1/1/2015 10:56 44.73, -92.41 None
181: 1/1/2015 11:01 48.80, -97.62 Snow
182: 1/1/2015 11:02 48.80, -97.62 Snow
183: 1/1/2015 11:17 28.85, -98.71 Drizzle
184: 1/1/2015 11:24 34.95, -89.76 None
185: 1/1/2015 11:25 34.95, -89.76 Test
186: 1/1/2015 11:30 32.46, -99.79 Freezing Rain
187: 1/1/2015 11:48 31.43, -97.77 Freezing Rain
188: 1/1/2015 11:48 35.18, -97.40 Freezing Rain
189: 1/1/2015 11:55 39.41, -74.71 None
190: 1/1/2015 12:01 38.90, -77.19 None
191: 1/1/2015 12:06 32.86, -96.71 Rain
192: 1/1/2015 12:19 42.13, -70.95 None
193: 1/1/2015 12:28 35.45, -97.36 Freezing Rain
194: 1/1/2015 12:33 41.70, -71.37 None
195: 1/1/2015 12:39 33.20, -97.61 Ice Pellets
196: 1/1/2015 12:40 32.37, -90.72 Drizzle
197: 1/1/2015 12:43 40.43, -78.38 None
198: 1/1/2015 12:44 29.63, -98.85 Drizzle
199: 1/1/2015 12:45 35.00, -97.95 Freezing Rain
200: 1/1/2015 12:46 32.94, -97.27 Rain
201: 1/1/2015 12:46 35.48, -94.22 Freezing Rain
202: 1/1/2015 12:47 32.96, -97.68 Rain/Ice Pellets
203: 1/1/2015 12:48 28.82, -98.68 Drizzle
204: 1/1/2015 12:49 32.58, -97.59 Freezing Rain
205: 1/1/2015 12:51 44.66, -90.56 Snow
206: 1/1/2015 12:52 44.66, -90.56 Snow
207: 1/1/2015 13:00 44.72, -88.61 Snow
208: 1/1/2015 13:01 32.88, -97.34 Freezing Rain
209: 1/1/2015 13:02 44.95, -123.08 None
210: 1/1/2015 13:05 32.41, -100.71 Ice Pellets
211: 1/1/2015 13:10 32.87, -97.31 Rain
212: 1/1/2015 13:11 40.88, -72.38 Test
213: 1/1/2015 13:12 32.96, -97.68 Rain/Snow
214: 1/1/2015 13:12 33.05, -96.70 None
215: 1/1/2015 13:13 33.05, -96.70 Rain
216: 1/1/2015 13:14 34.13, -96.26 None
217: 1/1/2015 13:14 43.37, -93.74 None
218: 1/1/2015 13:14 43.37, -93.74 None
219: 1/1/2015 13:14 43.37, -93.74 None
220: 1/1/2015 13:14 43.37, -93.74 None
221: 1/1/2015 13:22 30.53, -97.83 Rain/Ice Pellets
